type,neurons,density,hits,building_time,search_time
s,25230,051000.0,0,10939325,1206661
p0,25230,051000.0,0,6523311,299692
p2,25230,051000.0,0,10363753,321127
p3,25230,051000.0,0,7123830,335426
s,25230,051999.99999999999,6,11012110,1246757
p0,25230,051999.99999999999,6,6511137,299429
p2,25230,051999.99999999999,6,10345613,324499
p3,25230,051999.99999999999,6,7112130,335885
s,25230,053000.0,2,10918083,1212132
p0,25230,053000.0,2,6512743,304176
p2,25230,053000.0,2,10363492,324828
p3,25230,053000.0,2,7087307,336286
s,25230,054000.0,3,10921288,1263098
p0,25230,054000.0,3,6477223,299730
p2,25230,054000.0,3,10462346,323873
p3,25230,054000.0,3,7136692,331300
s,25230,055000.0,1,11003171,1262119
p0,25230,055000.0,1,6522684,304837
p2,25230,055000.0,1,10467639,321075
p3,25230,055000.0,1,7068884,325640
s,25230,056000.0,1,10900776,1274066
p0,25230,056000.0,1,6540741,303547
p2,25230,056000.0,1,10419387,321128
p3,25230,056000.0,1,7125764,329475
s,25230,057000.0,6,10893114,1236730
p0,25230,057000.0,6,6548828,300452
p2,25230,057000.0,6,10387725,322823
p3,25230,057000.0,6,7112923,331895
s,25230,058000.0,0,10919015,1287962
p0,25230,058000.0,0,6536076,301079
p2,25230,058000.0,0,10391950,320479
p3,25230,058000.0,0,7039989,324512
s,25230,059000.0,1,10931368,1293330
p0,25230,059000.0,1,6511278,304073
p2,25230,059000.0,1,10388059,322433
p3,25230,059000.0,1,7070504,327307
s,25230,060000.0,0,10929941,1243798
p0,25230,060000.0,0,6551411,284116
p2,25230,060000.0,0,10430296,307566
p3,25230,060000.0,0,7096435,321095
s,25230,061000.0,3,10930383,1298547
p0,25230,061000.0,3,6562647,303828
p2,25230,061000.0,3,10387775,323846
p3,25230,061000.0,3,7106188,325680
s,25230,062000.00000000001,0,10930547,1283121
p0,25230,062000.00000000001,0,6620923,299701
p2,25230,062000.00000000001,0,10414264,320349
p3,25230,062000.00000000001,0,7123291,323454
s,25230,063000.0,0,10947439,1283559
p0,25230,063000.0,0,6530943,278304
p2,25230,063000.0,0,10457828,302595
p3,25230,063000.0,0,7145756,304620
s,25230,064000.0,4,10900666,1247488
p0,25230,064000.0,4,6593058,304050
p2,25230,064000.0,4,10386845,324556
p3,25230,064000.0,4,7137474,333561
s,25230,065000.0,2,10909227,1215117
p0,25230,065000.0,2,6552695,296609
p2,25230,065000.0,2,10493865,319931
p3,25230,065000.0,2,7111266,334529
s,25230,066000.0,0,10988655,1252731
p0,25230,066000.0,0,6518477,307871
p2,25230,066000.0,0,10427604,329572
p3,25230,066000.0,0,7059848,335712
s,25230,067000.0,6,11013113,1259735
p0,25230,067000.0,6,6550044,305322
p2,25230,067000.0,6,10478660,324340
p3,25230,067000.0,6,7060848,334345
s,25230,068000.0,3,10959201,1274261
p0,25230,068000.0,3,6558828,301458
p2,25230,068000.0,3,10417361,323621
p3,25230,068000.0,3,7098993,333171
s,25230,069000.0,0,10950206,1290580
p0,25230,069000.0,0,6527884,299017
p2,25230,069000.0,0,10436792,318844
p3,25230,069000.0,0,7102986,324588
s,25230,070000.0,0,10968568,1233481
p0,25230,070000.0,0,6571743,311133
p2,25230,070000.0,0,10392504,320937
p3,25230,070000.0,0,7142140,328686
s,25230,071000.0,4,10916713,1299930
p0,25230,071000.0,4,6545825,303772
p2,25230,071000.0,4,10386097,326673
p3,25230,071000.0,4,7073639,327299
s,25230,072000.0,2,10892330,1243906
p0,25230,072000.0,2,6554680,295003
p2,25230,072000.0,2,10426644,319948
p3,25230,072000.0,2,7131192,330436
s,25230,073000.0,4,10998917,1289280
p0,25230,073000.0,4,6569521,305912
p2,25230,073000.0,4,10362165,322237
p3,25230,073000.0,4,7112046,329768
s,25230,074000.0,6,10930641,1278626
p0,25230,074000.0,6,6560393,301872
p2,25230,074000.0,6,10370229,323091
p3,25230,074000.0,6,7101209,330774
s,25230,075000.0,3,10906720,1258218
p0,25230,075000.0,3,6571135,305032
p2,25230,075000.0,3,10450592,325334
p3,25230,075000.0,3,7202497,333209
s,25230,076000.0,0,10921952,1244488
p0,25230,076000.0,0,6539998,285174
p2,25230,076000.0,0,10422530,314899
p3,25230,076000.0,0,7126610,324787
s,25230,077000.0,3,10989522,1261471
p0,25230,077000.0,3,6549696,299011
p2,25230,077000.0,3,10391187,321662
p3,25230,077000.0,3,7113885,332301
s,25230,078000.0,0,10895391,1209005
p0,25230,078000.0,0,6555720,299238
p2,25230,078000.0,0,10406601,323512
p3,25230,078000.0,0,7097201,337967
s,25230,079000.0,3,10920694,1252431
p0,25230,079000.0,3,6500921,302582
p2,25230,079000.0,3,10440308,319740
p3,25230,079000.0,3,7125106,331232
s,25230,080000.0,1,10948309,1299018
p0,25230,080000.0,1,6496711,302994
