type,neurons,density,hits,building_time,search_time
s,576,16991.0,0,251261,30414
p0,576,16991.0,0,122684,7747
p1,576,16991.0,0,41744788,8599
p2,576,16991.0,0,247223,8043
p3,576,16991.0,0,141346,8149
p4,576,16991.0,0,7154353,10507
s,576,16991.0,0,251694,31047
p0,576,16991.0,0,125095,7804
p1,576,16991.0,0,41449019,8548
p2,576,16991.0,0,244676,7982
p3,576,16991.0,0,140475,8265
p4,576,16991.0,0,7211072,10491
s,576,16991.0,0,250356,30842
p0,576,16991.0,0,124130,7743
p1,576,16991.0,0,41332400,8690
p2,576,16991.0,0,246631,8090
p3,576,16991.0,0,143605,8175
p4,576,16991.0,0,7152933,10690
s,576,16991.0,0,251649,30380
p0,576,16991.0,0,123265,7753
p1,576,16991.0,0,41294314,8640
p2,576,16991.0,0,245300,8027
p3,576,16991.0,0,140698,8197
p4,576,16991.0,0,7135526,10500
s,576,16991.0,0,251522,31042
p0,576,16991.0,0,123057,7692
p1,576,16991.0,0,41487407,8539
p2,576,16991.0,0,246816,8082
p3,576,16991.0,0,141560,8079
p4,576,16991.0,0,7145396,10669
s,1000,16991.0,0,438531,49048
p0,1000,16991.0,0,202090,12698
p1,1000,16991.0,-1,NaN,NaN
p2,1000,16991.0,0,413274,13352
p3,1000,16991.0,0,232551,14184
p4,1000,16991.0,0,14337123,17041
s,1000,16991.0,0,437442,49679
p0,1000,16991.0,0,201986,12778
p1,1000,16991.0,-1,NaN,NaN
p2,1000,16991.0,0,416773,13502
p3,1000,16991.0,0,232557,14377
p4,1000,16991.0,0,14331154,16858
s,1000,16991.0,0,437659,48937
p0,1000,16991.0,0,203092,12821
p1,1000,16991.0,-1,NaN,NaN
p2,1000,16991.0,0,397688,13703
p3,1000,16991.0,0,232517,14261
p4,1000,16991.0,0,14336292,16551
s,1000,16991.0,0,437803,48657
p0,1000,16991.0,0,202429,12687
p1,1000,16991.0,-1,NaN,NaN
p2,1000,16991.0,0,415097,13404
p3,1000,16991.0,0,235569,14311
p4,1000,16991.0,0,14357928,16580
s,1000,16991.0,0,436399,49236
p0,1000,16991.0,0,204079,12829
p1,1000,16991.0,-1,NaN,NaN
p2,1000,16991.0,0,414697,13417
p3,1000,16991.0,0,231810,14074
p4,1000,16991.0,0,14322957,16748
s,1452,16991.0,0,634665,73522
