type,neurons,density,hits,building_time,search_time
s,576,16991.0,1,485134,19
p0,576,16991.0,1,4419795,46
p1,576,16991.0,-1,NaN,NaN
p2,576,16991.0,1,4539693,45
p3,576,16991.0,1,4349577,35
s,576,16991.0,1,483436,19
p0,576,16991.0,1,4393537,40
p1,576,16991.0,-1,NaN,NaN
p2,576,16991.0,1,4868160,38
p3,576,16991.0,1,4732807,36
s,576,16991.0,1,482807,19
p0,576,16991.0,1,4506542,33
p1,576,16991.0,-1,NaN,NaN
p2,576,16991.0,1,4347803,37
p3,576,16991.0,1,4591944,25
s,576,16991.0,1,483452,19
p0,576,16991.0,1,4714436,33
p1,576,16991.0,-1,NaN,NaN
p2,576,16991.0,1,4926720,39
p3,576,16991.0,1,4291624,40
s,576,16991.0,1,485923,19
p0,576,16991.0,1,4553936,36
p1,576,16991.0,-1,NaN,NaN
p2,576,16991.0,1,4891793,30
p3,576,16991.0,1,4601128,51
s,1000,16991.0,1,873963,16
p0,1000,16991.0,1,7878059,26
p1,1000,16991.0,-1,NaN,NaN
p2,1000,16991.0,1,8609048,30
p3,1000,16991.0,1,7897501,41
s,1000,16991.0,1,870374,15
p0,1000,16991.0,1,7199944,34
p1,1000,16991.0,-1,NaN,NaN
p2,1000,16991.0,1,8529191,45
p3,1000,16991.0,1,7517289,44
s,1000,16991.0,1,871976,15
p0,1000,16991.0,1,7589127,38
p1,1000,16991.0,-1,NaN,NaN
p2,1000,16991.0,1,8669834,41
p3,1000,16991.0,1,7797480,38
s,1000,16991.0,1,873861,16
p0,1000,16991.0,1,7426173,35
p1,1000,16991.0,-1,NaN,NaN
p2,1000,16991.0,1,8670913,23
p3,1000,16991.0,1,8335308,35
s,1000,16991.0,1,873264,16
p0,1000,16991.0,1,7421681,41
p1,1000,16991.0,-1,NaN,NaN
p2,1000,16991.0,1,8482090,38
p3,1000,16991.0,1,8285524,36
s,1452,16991.0,0,1313161,8
p0,1452,16991.0,0,10778097,45
p1,1452,16991.0,-1,NaN,NaN
p2,1452,16991.0,0,12364254,77
p3,1452,16991.0,0,11924530,30
s,1452,16991.0,0,1308209,8
p0,1452,16991.0,0,10519017,40
p1,1452,16991.0,-1,NaN,NaN
p2,1452,16991.0,0,12350211,89
p3,1452,16991.0,0,11921592,38
s,1452,16991.0,0,1308351,8
p0,1452,16991.0,0,10306700,28
p1,1452,16991.0,-1,NaN,NaN
p2,1452,16991.0,0,12329576,82
p3,1452,16991.0,0,11856403,32
s,1452,16991.0,0,1310789,8
p0,1452,16991.0,0,10392644,38
p1,1452,16991.0,-1,NaN,NaN
p2,1452,16991.0,0,12275987,81
p3,1452,16991.0,0,12106369,41
s,1452,16991.0,0,1309115,8
p0,1452,16991.0,0,10768249,38
p1,1452,16991.0,-1,NaN,NaN
p2,1452,16991.0,0,12350116,83
p3,1452,16991.0,0,11961462,33
s,1872,16991.0,2,1783410,23
p0,1872,16991.0,2,14829011,41
p1,1872,16991.0,-1,NaN,NaN
p2,1872,16991.0,2,13923244,48
p3,1872,16991.0,2,14643242,42
s,1872,16991.0,2,1778946,22
p0,1872,16991.0,2,14035473,44
p1,1872,16991.0,-1,NaN,NaN
p2,1872,16991.0,2,14990490,54
p3,1872,16991.0,2,14776873,42
s,1872,16991.0,2,1778925,23
p0,1872,16991.0,2,14562303,41
p1,1872,16991.0,-1,NaN,NaN
p2,1872,16991.0,2,14185109,54
p3,1872,16991.0,2,14749405,53
s,1872,16991.0,2,1779426,23
p0,1872,16991.0,2,13947477,34
p1,1872,16991.0,-1,NaN,NaN
p2,1872,16991.0,2,14752607,54
p3,1872,16991.0,2,14695000,36
s,1872,16991.0,2,1788733,23
p0,1872,16991.0,2,14225034,46
p1,1872,16991.0,-1,NaN,NaN
p2,1872,16991.0,2,15261396,45
p3,1872,16991.0,2,14242840,38
s,2197,16991.0,3,2136446,15
p0,2197,16991.0,3,17379966,33
p1,2197,16991.0,-1,NaN,NaN
p2,2197,16991.0,3,18721944,69
p3,2197,16991.0,3,17643701,60
s,2197,16991.0,3,2133210,15
p0,2197,16991.0,3,17389309,37
p1,2197,16991.0,-1,NaN,NaN
p2,2197,16991.0,3,18684416,66
p3,2197,16991.0,3,17498123,39
s,2197,16991.0,3,2145087,16
p0,2197,16991.0,3,18148064,37
p1,2197,16991.0,-1,NaN,NaN
p2,2197,16991.0,3,17286150,65
p3,2197,16991.0,3,16679158,47
s,2197,16991.0,3,2134929,16
p0,2197,16991.0,3,17179085,44
p1,2197,16991.0,-1,NaN,NaN
p2,2197,16991.0,3,18612462,59
p3,2197,16991.0,3,16679656,36
s,2197,16991.0,3,2129042,15
p0,2197,16991.0,3,17439648,39
p1,2197,16991.0,-1,NaN,NaN
p2,2197,16991.0,3,18582948,65
p3,2197,16991.0,3,17462818,41
s,2744,16991.0,0,2624138,11
p0,2744,16991.0,0,22310935,36
p1,2744,16991.0,-1,NaN,NaN
p2,2744,16991.0,0,23179809,43
p3,2744,16991.0,0,22701642,44
s,2744,16991.0,0,2624295,11
p0,2744,16991.0,0,22195696,32
p1,2744,16991.0,-1,NaN,NaN
p2,2744,16991.0,0,23211349,50
p3,2744,16991.0,0,22777231,47
s,2744,16991.0,0,2624495,11
p0,2744,16991.0,0,22009762,39
p1,2744,16991.0,-1,NaN,NaN
p2,2744,16991.0,0,23295000,40
p3,2744,16991.0,0,22678379,45
s,2744,16991.0,0,2620386,10
p0,2744,16991.0,0,22313007,37
p1,2744,16991.0,-1,NaN,NaN
p2,2744,16991.0,0,23288189,44
p3,2744,16991.0,0,22716573,31
s,2744,16991.0,0,2621168,10
p0,2744,16991.0,0,21294711,41
p1,2744,16991.0,-1,NaN,NaN
p2,2744,16991.0,0,23361383,35
p3,2744,16991.0,0,22568527,31
s,3150,16991.0,0,3053145,17
p0,3150,16991.0,0,24732541,36
p1,3150,16991.0,-1,NaN,NaN
p2,3150,16991.0,0,26165404,111
p3,3150,16991.0,0,23193249,40
s,3150,16991.0,0,3052122,17
p0,3150,16991.0,0,25036705,31
p1,3150,16991.0,-1,NaN,NaN
p2,3150,16991.0,0,26607064,112
p3,3150,16991.0,0,24054756,37
s,3150,16991.0,0,3056876,17
p0,3150,16991.0,0,24957658,37
p1,3150,16991.0,-1,NaN,NaN
p2,3150,16991.0,0,26488509,106
p3,3150,16991.0,0,24252579,37
s,3150,16991.0,0,3061866,17
p0,3150,16991.0,0,24690211,33
p1,3150,16991.0,-1,NaN,NaN
p2,3150,16991.0,0,26594963,105
p3,3150,16991.0,0,23644722,51
s,3150,16991.0,0,3050822,17
p0,3150,16991.0,0,25184594,39
p1,3150,16991.0,-1,NaN,NaN
p2,3150,16991.0,0,26361486,96
p3,3150,16991.0,0,23446094,46
s,3600,16991.0,0,3660423,8
p0,3600,16991.0,0,27729799,30
p1,3600,16991.0,-1,NaN,NaN
p2,3600,16991.0,0,26482745,34
p3,3600,16991.0,0,27924337,26
s,3600,16991.0,0,3666955,8
p0,3600,16991.0,0,27336162,33
p1,3600,16991.0,-1,NaN,NaN
p2,3600,16991.0,0,24659416,36
p3,3600,16991.0,0,27666491,34
s,3600,16991.0,0,3663517,8
p0,3600,16991.0,0,26985609,42
p1,3600,16991.0,-1,NaN,NaN
p2,3600,16991.0,0,27395015,37
p3,3600,16991.0,0,28508576,30
s,3600,16991.0,0,3659726,8
p0,3600,16991.0,0,27278671,31
p1,3600,16991.0,-1,NaN,NaN
p2,3600,16991.0,0,27358051,41
p3,3600,16991.0,0,27458656,34
s,3600,16991.0,0,3658714,8
p0,3600,16991.0,0,27174649,33
p1,3600,16991.0,-1,NaN,NaN
p2,3600,16991.0,0,26372942,35
p3,3600,16991.0,0,27312606,33
s,4096,16991.0,0,4175948,9
p0,4096,16991.0,0,31592393,44
p1,4096,16991.0,-1,NaN,NaN
p2,4096,16991.0,0,34777634,59
p3,4096,16991.0,0,34181442,42
s,4096,16991.0,0,4161928,8
p0,4096,16991.0,0,31868259,44
p1,4096,16991.0,-1,NaN,NaN
p2,4096,16991.0,0,35047988,57
p3,4096,16991.0,0,33840207,43
s,4096,16991.0,0,4178054,9
p0,4096,16991.0,0,30162444,37
p1,4096,16991.0,-1,NaN,NaN
p2,4096,16991.0,0,34686818,52
p3,4096,16991.0,0,33193612,45
s,4096,16991.0,0,4174102,9
p0,4096,16991.0,0,30278544,40
p1,4096,16991.0,-1,NaN,NaN
p2,4096,16991.0,0,35212944,56
p3,4096,16991.0,0,33601623,36
s,4096,16991.0,0,4161335,10
p0,4096,16991.0,0,31890235,48
p1,4096,16991.0,-1,NaN,NaN
p2,4096,16991.0,0,34879075,47
p3,4096,16991.0,0,33704867,37
s,4352,16991.0,3,4546058,16
p0,4352,16991.0,3,31873260,38
p1,4352,16991.0,-1,NaN,NaN
p2,4352,16991.0,3,37200529,52
p3,4352,16991.0,3,35209082,47
s,4352,16991.0,3,4552458,15
p0,4352,16991.0,3,33515671,37
p1,4352,16991.0,-1,NaN,NaN
p2,4352,16991.0,3,38040714,47
p3,4352,16991.0,3,36405680,41
s,4352,16991.0,3,4525788,15
p0,4352,16991.0,3,32672032,43
p1,4352,16991.0,-1,NaN,NaN
p2,4352,16991.0,3,36429465,44
p3,4352,16991.0,3,36119625,45
s,4352,16991.0,3,4536595,15
p0,4352,16991.0,3,32892970,51
p1,4352,16991.0,-1,NaN,NaN
p2,4352,16991.0,3,37419457,51
p3,4352,16991.0,3,36193079,34
s,4352,16991.0,3,4556201,15
p0,4352,16991.0,3,31246471,52
p1,4352,16991.0,-1,NaN,NaN
p2,4352,16991.0,3,37128240,48
p3,4352,16991.0,3,33974789,43
s,4913,16991.0,0,5090397,10
p0,4913,16991.0,0,40055315,33
p1,4913,16991.0,-1,NaN,NaN
p2,4913,16991.0,0,42095181,71
p3,4913,16991.0,0,40675952,42
s,4913,16991.0,0,5057861,10
p0,4913,16991.0,0,39714783,31
p1,4913,16991.0,-1,NaN,NaN
p2,4913,16991.0,0,41480731,76
p3,4913,16991.0,0,40687153,37
s,4913,16991.0,0,5057331,11
p0,4913,16991.0,0,40813056,34
p1,4913,16991.0,-1,NaN,NaN
p2,4913,16991.0,0,41346281,69
p3,4913,16991.0,0,40529074,39
s,4913,16991.0,0,5094312,10
p0,4913,16991.0,0,39754635,31
p1,4913,16991.0,-1,NaN,NaN
p2,4913,16991.0,0,41690192,69
p3,4913,16991.0,0,40370804,52
s,4913,16991.0,0,5080533,10
p0,4913,16991.0,0,40612658,31
p1,4913,16991.0,-1,NaN,NaN
p2,4913,16991.0,0,42581774,72
p3,4913,16991.0,0,40091909,36
s,5202,16991.0,0,5460870,13
p0,5202,16991.0,0,42718693,33
p1,5202,16991.0,-1,NaN,NaN
p2,5202,16991.0,0,44052550,81
p3,5202,16991.0,0,43016576,26
s,5202,16991.0,0,5373659,12
p0,5202,16991.0,0,42894180,38
p1,5202,16991.0,-1,NaN,NaN
p2,5202,16991.0,0,43458155,75
p3,5202,16991.0,0,42844747,43
s,5202,16991.0,0,5378165,14
p0,5202,16991.0,0,41279570,43
p1,5202,16991.0,-1,NaN,NaN
p2,5202,16991.0,0,43469668,95
p3,5202,16991.0,0,43134209,38
s,5202,16991.0,0,5379341,12
p0,5202,16991.0,0,42795089,40
p1,5202,16991.0,-1,NaN,NaN
p2,5202,16991.0,0,43837004,93
p3,5202,16991.0,0,42652577,42
s,5202,16991.0,0,5361086,13
p0,5202,16991.0,0,42327156,37
p1,5202,16991.0,-1,NaN,NaN
p2,5202,16991.0,0,43641422,92
p3,5202,16991.0,0,43073263,30
s,5508,16991.0,0,5609124,15
p0,5508,16991.0,0,44635883,38
p1,5508,16991.0,-1,NaN,NaN
p2,5508,16991.0,0,46937198,63
p3,5508,16991.0,0,46020019,23
s,5508,16991.0,0,5617208,17
p0,5508,16991.0,0,45039050,26
p1,5508,16991.0,-1,NaN,NaN
p2,5508,16991.0,0,46935206,63
p3,5508,16991.0,0,45343821,43
s,5508,16991.0,0,5648827,15
p0,5508,16991.0,0,44876377,40
p1,5508,16991.0,-1,NaN,NaN
p2,5508,16991.0,0,46436695,60
p3,5508,16991.0,0,45259490,51
s,5508,16991.0,0,5617621,16
p0,5508,16991.0,0,45285201,39
p1,5508,16991.0,-1,NaN,NaN
p2,5508,16991.0,0,46560770,50
p3,5508,16991.0,0,46157809,52
s,5508,16991.0,0,5630889,16
p0,5508,16991.0,0,44597955,47
p1,5508,16991.0,-1,NaN,NaN
p2,5508,16991.0,0,47217669,56
p3,5508,16991.0,0,42918766,45
s,6156,16991.0,1,6370654,13
p0,6156,16991.0,1,50223612,35
p1,6156,16991.0,-1,NaN,NaN
p2,6156,16991.0,1,51409988,52
p3,6156,16991.0,1,50378482,39
s,6156,16991.0,1,6372752,13
p0,6156,16991.0,1,49784296,36
p1,6156,16991.0,-1,NaN,NaN
p2,6156,16991.0,1,52410968,47
p3,6156,16991.0,1,50480832,39
s,6156,16991.0,1,6346151,13
p0,6156,16991.0,1,50690240,30
p1,6156,16991.0,-1,NaN,NaN
p2,6156,16991.0,1,51563469,55
p3,6156,16991.0,1,51184964,28
s,6156,16991.0,1,6360493,13
p0,6156,16991.0,1,50252900,34
p1,6156,16991.0,-1,NaN,NaN
p2,6156,16991.0,1,51173983,46
p3,6156,16991.0,1,51203946,31
s,6156,16991.0,1,6379162,12
p0,6156,16991.0,1,50533662,35
p1,6156,16991.0,-1,NaN,NaN
p2,6156,16991.0,1,52153041,53
p3,6156,16991.0,1,49983836,39
s,6498,16991.0,1,6793053,9
p0,6498,16991.0,1,53933241,23
p1,6498,16991.0,-1,NaN,NaN
p2,6498,16991.0,1,54732467,69
p3,6498,16991.0,1,52378600,39
s,6498,16991.0,1,6850977,8
p0,6498,16991.0,1,53142457,39
p1,6498,16991.0,-1,NaN,NaN
p2,6498,16991.0,1,54585976,64
p3,6498,16991.0,1,52794019,35
s,6498,16991.0,1,6807740,9
p0,6498,16991.0,1,52944860,37
p1,6498,16991.0,-1,NaN,NaN
p2,6498,16991.0,1,54508346,85
p3,6498,16991.0,1,53798085,44
s,6498,16991.0,1,6810570,8
p0,6498,16991.0,1,53286461,32
p1,6498,16991.0,-1,NaN,NaN
p2,6498,16991.0,1,55016047,64
p3,6498,16991.0,1,52647916,38
s,6498,16991.0,1,6826932,9
p0,6498,16991.0,1,52641655,54
p1,6498,16991.0,-1,NaN,NaN
p2,6498,16991.0,1,54528985,2927
p3,6498,16991.0,1,52463634,43
s,6859,16991.0,1,7422407,14
p0,6859,16991.0,1,53710054,38
p1,6859,16991.0,-1,NaN,NaN
p2,6859,16991.0,1,55153567,44
p3,6859,16991.0,1,56042815,34
s,6859,16991.0,1,7398623,14
p0,6859,16991.0,1,54114289,40
p1,6859,16991.0,-1,NaN,NaN
p2,6859,16991.0,1,57368742,43
p3,6859,16991.0,1,55328797,34
s,6859,16991.0,1,7416846,14
p0,6859,16991.0,1,51944328,34
p1,6859,16991.0,-1,NaN,NaN
p2,6859,16991.0,1,57501139,40
p3,6859,16991.0,1,55947748,39
s,6859,16991.0,1,7413954,14
p0,6859,16991.0,1,54493139,48
p1,6859,16991.0,-1,NaN,NaN
p2,6859,16991.0,1,58103033,39
p3,6859,16991.0,1,55806750,42
s,6859,16991.0,1,7426224,14
p0,6859,16991.0,1,52518844,33
p1,6859,16991.0,-1,NaN,NaN
p2,6859,16991.0,1,54854849,41
p3,6859,16991.0,1,53459864,50
s,7220,16991.0,0,7888794,13
p0,7220,16991.0,0,54511456,46
p1,7220,16991.0,-1,NaN,NaN
p2,7220,16991.0,0,56232582,169
p3,7220,16991.0,-1,NaN,NaN
s,7220,16991.0,0,7865619,14
p0,7220,16991.0,0,54056074,36
p1,7220,16991.0,-1,NaN,NaN
p2,7220,16991.0,0,56610745,177
p3,7220,16991.0,-1,NaN,NaN
s,7220,16991.0,0,7879721,13
p0,7220,16991.0,0,55134760,40
p1,7220,16991.0,-1,NaN,NaN
p2,7220,16991.0,0,54706531,179
p3,7220,16991.0,-1,NaN,NaN
s,7220,16991.0,0,7903982,13
p0,7220,16991.0,0,54567942,40
p1,7220,16991.0,-1,NaN,NaN
p2,7220,16991.0,0,56322139,234
p3,7220,16991.0,-1,NaN,NaN
s,7220,16991.0,0,7890144,13
p0,7220,16991.0,0,53853687,26
p1,7220,16991.0,-1,NaN,NaN
p2,7220,16991.0,0,56307221,164
p3,7220,16991.0,-1,NaN,NaN
s,7600,16991.0,0,8206657,14
p0,7600,16991.0,-1,NaN,NaN
p1,7600,16991.0,-1,NaN,NaN
p2,7600,16991.0,0,54523435,121
p3,7600,16991.0,-1,NaN,NaN
s,7600,16991.0,0,8236987,15
p0,7600,16991.0,-1,NaN,NaN
p1,7600,16991.0,-1,NaN,NaN
p2,7600,16991.0,-1,NaN,NaN
p3,7600,16991.0,0,57430031,40
s,7600,16991.0,0,8235740,14
p0,7600,16991.0,-1,NaN,NaN
p1,7600,16991.0,-1,NaN,NaN
p2,7600,16991.0,-1,NaN,NaN
p3,7600,16991.0,-1,NaN,NaN
s,7600,16991.0,0,8237717,13
p0,7600,16991.0,-1,NaN,NaN
p1,7600,16991.0,-1,NaN,NaN
p2,7600,16991.0,-1,NaN,NaN
p3,7600,16991.0,-1,NaN,NaN
s,7600,16991.0,0,8220737,14
p0,7600,16991.0,-1,NaN,NaN
p1,7600,16991.0,-1,NaN,NaN
p2,7600,16991.0,-1,NaN,NaN
p3,7600,16991.0,-1,NaN,NaN
s,8400,16991.0,0,9385388,13
p0,8400,16991.0,-1,NaN,NaN
p1,8400,16991.0,-1,NaN,NaN
p2,8400,16991.0,-1,NaN,NaN
p3,8400,16991.0,-1,NaN,NaN
s,8400,16991.0,0,9362239,13
p0,8400,16991.0,-1,NaN,NaN
p1,8400,16991.0,-1,NaN,NaN
p2,8400,16991.0,-1,NaN,NaN
p3,8400,16991.0,-1,NaN,NaN
s,8400,16991.0,0,9334829,11
p0,8400,16991.0,-1,NaN,NaN
p1,8400,16991.0,-1,NaN,NaN
p2,8400,16991.0,-1,NaN,NaN
p3,8400,16991.0,-1,NaN,NaN
s,8400,16991.0,0,9352179,12
p0,8400,16991.0,-1,NaN,NaN
p1,8400,16991.0,-1,NaN,NaN
p2,8400,16991.0,-1,NaN,NaN
p3,8400,16991.0,-1,NaN,NaN
s,8400,16991.0,0,9409555,11
p0,8400,16991.0,-1,NaN,NaN
p1,8400,16991.0,-1,NaN,NaN
p2,8400,16991.0,-1,NaN,NaN
p3,8400,16991.0,-1,NaN,NaN
s,8820,16991.0,0,9470313,12
p0,8820,16991.0,-1,NaN,NaN
p1,8820,16991.0,-1,NaN,NaN
p2,8820,16991.0,-1,NaN,NaN
p3,8820,16991.0,-1,NaN,NaN
s,8820,16991.0,0,9453597,12
p0,8820,16991.0,-1,NaN,NaN
p1,8820,16991.0,-1,NaN,NaN
p2,8820,16991.0,-1,NaN,NaN
p3,8820,16991.0,-1,NaN,NaN
s,8820,16991.0,0,9476618,12
p0,8820,16991.0,-1,NaN,NaN
p1,8820,16991.0,-1,NaN,NaN
p2,8820,16991.0,-1,NaN,NaN
p3,8820,16991.0,-1,NaN,NaN
s,8820,16991.0,0,9459460,12
p0,8820,16991.0,-1,NaN,NaN
p1,8820,16991.0,-1,NaN,NaN
p2,8820,16991.0,-1,NaN,NaN
p3,8820,16991.0,-1,NaN,NaN
s,8820,16991.0,0,9501202,12
p0,8820,16991.0,-1,NaN,NaN
p1,8820,16991.0,-1,NaN,NaN
p2,8820,16991.0,-1,NaN,NaN
p3,8820,16991.0,-1,NaN,NaN
s,9261,16991.0,0,10252583,24
p0,9261,16991.0,-1,NaN,NaN
p1,9261,16991.0,-1,NaN,NaN
p2,9261,16991.0,-1,NaN,NaN
p3,9261,16991.0,-1,NaN,NaN
s,9261,16991.0,0,10231736,17
p0,9261,16991.0,-1,NaN,NaN
p1,9261,16991.0,-1,NaN,NaN
p2,9261,16991.0,-1,NaN,NaN
p3,9261,16991.0,-1,NaN,NaN
s,9261,16991.0,0,10196290,18
p0,9261,16991.0,-1,NaN,NaN
p1,9261,16991.0,-1,NaN,NaN
p2,9261,16991.0,-1,NaN,NaN
p3,9261,16991.0,-1,NaN,NaN
s,9261,16991.0,0,10197672,18
p0,9261,16991.0,-1,NaN,NaN
p1,9261,16991.0,-1,NaN,NaN
p2,9261,16991.0,-1,NaN,NaN
p3,9261,16991.0,-1,NaN,NaN
s,9261,16991.0,0,10236004,17
p0,9261,16991.0,-1,NaN,NaN
p1,9261,16991.0,-1,NaN,NaN
p2,9261,16991.0,-1,NaN,NaN
p3,9261,16991.0,-1,NaN,NaN
s,9702,16991.0,0,10819047,18
p0,9702,16991.0,-1,NaN,NaN
p1,9702,16991.0,-1,NaN,NaN
p2,9702,16991.0,-1,NaN,NaN
p3,9702,16991.0,-1,NaN,NaN
s,9702,16991.0,0,10788198,19
p0,9702,16991.0,-1,NaN,NaN
p1,9702,16991.0,-1,NaN,NaN
p2,9702,16991.0,-1,NaN,NaN
p3,9702,16991.0,-1,NaN,NaN
s,9702,16991.0,0,10849774,19
p0,9702,16991.0,-1,NaN,NaN
p1,9702,16991.0,-1,NaN,NaN
p2,9702,16991.0,-1,NaN,NaN
p3,9702,16991.0,-1,NaN,NaN
s,9702,16991.0,0,10823326,19
p0,9702,16991.0,-1,NaN,NaN
p1,9702,16991.0,-1,NaN,NaN
p2,9702,16991.0,-1,NaN,NaN
p3,9702,16991.0,-1,NaN,NaN
s,9702,16991.0,0,10802458,19
p0,9702,16991.0,-1,NaN,NaN
p1,9702,16991.0,-1,NaN,NaN
p2,9702,16991.0,-1,NaN,NaN
p3,9702,16991.0,-1,NaN,NaN
s,10164,16991.0,2,10926963,19
p0,10164,16991.0,-1,NaN,NaN
p1,10164,16991.0,-1,NaN,NaN
p2,10164,16991.0,-1,NaN,NaN
p3,10164,16991.0,-1,NaN,NaN
s,10164,16991.0,2,10920465,18
p0,10164,16991.0,-1,NaN,NaN
p1,10164,16991.0,-1,NaN,NaN
p2,10164,16991.0,-1,NaN,NaN
p3,10164,16991.0,-1,NaN,NaN
s,10164,16991.0,2,10916233,19
p0,10164,16991.0,-1,NaN,NaN
p1,10164,16991.0,-1,NaN,NaN
p2,10164,16991.0,-1,NaN,NaN
p3,10164,16991.0,-1,NaN,NaN
s,10164,16991.0,2,10900270,20
p0,10164,16991.0,-1,NaN,NaN
p1,10164,16991.0,-1,NaN,NaN
p2,10164,16991.0,-1,NaN,NaN
p3,10164,16991.0,-1,NaN,NaN
s,10164,16991.0,2,10960997,19
p0,10164,16991.0,-1,NaN,NaN
p1,10164,16991.0,-1,NaN,NaN
p2,10164,16991.0,-1,NaN,NaN
p3,10164,16991.0,-1,NaN,NaN
s,10648,16991.0,4,11651439,16
p0,10648,16991.0,-1,NaN,NaN
p1,10648,16991.0,-1,NaN,NaN
p2,10648,16991.0,-1,NaN,NaN
p3,10648,16991.0,-1,NaN,NaN
s,10648,16991.0,4,11643267,15
p0,10648,16991.0,-1,NaN,NaN
p1,10648,16991.0,-1,NaN,NaN
p2,10648,16991.0,-1,NaN,NaN
p3,10648,16991.0,-1,NaN,NaN
s,10648,16991.0,4,11703441,16
p0,10648,16991.0,-1,NaN,NaN
p1,10648,16991.0,-1,NaN,NaN
p2,10648,16991.0,-1,NaN,NaN
p3,10648,16991.0,-1,NaN,NaN
s,10648,16991.0,4,11623755,16
p0,10648,16991.0,-1,NaN,NaN
p1,10648,16991.0,-1,NaN,NaN
p2,10648,16991.0,-1,NaN,NaN
p3,10648,16991.0,-1,NaN,NaN
s,10648,16991.0,4,11625409,17
p0,10648,16991.0,-1,NaN,NaN
p1,10648,16991.0,-1,NaN,NaN
p2,10648,16991.0,-1,NaN,NaN
p3,10648,16991.0,-1,NaN,NaN
s,11132,16991.0,0,12396268,14
p0,11132,16991.0,-1,NaN,NaN
p1,11132,16991.0,-1,NaN,NaN
p2,11132,16991.0,-1,NaN,NaN
p3,11132,16991.0,-1,NaN,NaN
s,11132,16991.0,0,12401127,15
p0,11132,16991.0,-1,NaN,NaN
p1,11132,16991.0,-1,NaN,NaN
p2,11132,16991.0,-1,NaN,NaN
p3,11132,16991.0,-1,NaN,NaN
